Artist,Lyrics,Key,Genre,Music,Song,Title,Guitar
Nanda Malani,Dharmasiri Gamage,Eb minor | Beat,"Classics, Movie Songs",Premasiri Khemadasa,අම්මා..ආ….වරුනේ..ඒ අම්මා..ආ…. වරුනේ සම්මා සම්බුදු අම්මාවරුනේ දරුවන්ගේ දුක් කඳුළු දකින දා සුර ලොව සිට අත පා…… ආ ඒ කඳුළැලි පිසිනා අම්මාවරු නැති දරුවන්නේ සංකා දුක් කවුදෝ දන්නේ ඒ දුක දන්නා අම්මාවරුමයි යම් මතු දිනයක බුදු වන්නේ සංසාරේ මතු බුදු වන්නේ සෙනෙහස වැඩි දා සිතද බොළද වේ ලොවම ආදරේ කියා සිතී මායාවක්වී එහි තනිවූ දා අම්මා පමණයි ළඟ ඉන්නේ අම්මා පමණයි ළඟ ඉන්නේ,ammawarune,INTRO |Ebsus4 Through out the intro | CHORUS Ebm Bbm Abm C# C# Bbm Ebsus4 Ebsus4 C# Ebsus4 C# Ebm Bbm Ebm Abm	 C# Abm C# C# Bbm Ebsus4 INTER |Ebm/Bbm|Bbm|Ebm/Bbm|Bbm| |Bbm/Ebm|Ebm|Bbm/Ebm|Ebm| |Abm| - |Bbm| - |Ebm| - | | Ebsus4| - | - | - | VERSE 1 C# Abm C# C# Abm C# C# Ebm Bbm Ebm C# Ebm Bbm Ebm Abm C#	 Ebm Ebsus4 VERSE 2 C# Abm	 C# C# Abm C# C# Ebm Bbm Ebm C# Ebm Bbm Ebm Abm C# Ebm Ebsus4
Sunil Edirisinghe,Dharmasiri Gamage,F major | Beat,Old Pops,Rohana Weerasingha,"අද දීගෙක ගිය නුඹ මට බුලත් අතක් දීලා යන්න පිටත් වූ මොහොතේ මගේ දෙපා වැඳලා එතෙක් සිනහවෙන් සිටි මා කොහෙදෝ තනි වීලා නෙතේ කඳුළු සිරකර ගෙන සිටියෙමි ඉවසාලා පුංචි නංගියේ, මගේ පුංචි නංගියේ පුංචි නංගියේ, මගේ පුංචි නංගියේ මා සිටියත් ඉවසා ගෙන නෙතේ කඳුළු නොසලා අප දෙන්නා දිහා බලා උන් අම්මා දැකලා ඇගේ නෙතින් කඩා හැළුණු කඳුළු මතක් වීලා කවුරුත් නැති තැනකට වී හැඬුවෙමි තනි වීලා පුංචි නංගියේ, මගේ පුංචි නංගියේ පුංචි නංගියේ, මගේ පුංචි නංගියේ",ada-deegeka,INTRO/INTER | F | - |Cm |Gm | |Bb | - | - | F | | F |Gm |C7 | F | CHORUS F Gm C F F F7 Bb C Dm C7 F F Gm C C7 F VERSE F Gm C F F F7 Bb C Dm C7 F F Gm C C7 F Back To Chorus
H.R.Jothipala,Dharmasiri Gamage,E minor | Beat,"Classics, Golden Pop",M.K.Roksami,අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ හෙළන්නෙ ඇයි කඳුළැලි ආදර නිල්මිණි දෑසේ අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ ඔයාව ජීවිතයේ මට හමුවුණු මුල් දවසේ සිනාවේ දෑසේ අහිංසක ආදරයයි තිබුණේ කියාපු මිහිරි කතා තවමත් ඇහෙනවා වාගේ ප්‍රියාවි රැකගන්නම් හද බලකොටුවෙහි මාගේ පරාද වෙන්න ඉඩක් නෑ අපි දෙන්නගේ ප්‍රේමේ දිනන්නේ යන යන තැන ඔබ හින්දයි මා ලෝකේ අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ මැණිකේ සුවඳ මලයි පිපි බාධක කටු අකුලේ සිටින්න දෝතින් ඒ මල නෙලනා තුරු මැණිකේ දිලෙන්නේ එක තරුවයි සඳ වටකර පෙම් ලෝකේ සඳ මැණිකෙයි මම තරුවයි පායන නිල් අහසේ,adanne-ai,INTRO |Em|D |Em|Bm|D |- |A7|- | |D |- |G |- |Em|- |- |- | CHORUS 1 Em D Em 	D	Em D	 A7 Em Em D Em 	D	Em INTER |+ |Em|- |A |- |Em|D |Em| |Em|G |- | D|- | A|Em|- | VERSE 1 D		 Em A		 Em |Em|- |- |- |A |- |- |- | D		 Em A		 Em CHORUS 2 Em D Em 	 D	 Em D	 A7 Em Em D Em 	D	Em VERSE 2 D		 Em A		 Em |Em| - | - | - | A | - | - | - | D		 Em A		 Em
Nanda Malani,Dharmasiri Gamage,Eb minor | Beat,"Classics, Movie Songs",Premasiri Khemadasa,අම්මා..ආ….වරුනේ..ඒ අම්මා..ආ…. වරුනේ සම්මා සම්බුදු අම්මාවරුනේ දරුවන්ගේ දුක් කඳුළු දකින දා සුර ලොව සිට අත පා…… ආ ඒ කඳුළැලි පිසිනා අම්මාවරු නැති දරුවන්නේ සංකා දුක් කවුදෝ දන්නේ ඒ දුක දන්නා අම්මාවරුමයි යම් මතු දිනයක බුදු වන්නේ සංසාරේ මතු බුදු වන්නේ සෙනෙහස වැඩි දා සිතද බොළද වේ ලොවම ආදරේ කියා සිතී මායාවක්වී එහි තනිවූ දා අම්මා පමණයි ළඟ ඉන්නේ අම්මා පමණයි ළඟ ඉන්නේ,ammawarune,INTRO |Ebsus4 Through out the intro | CHORUS Ebm Bbm Abm C# C# Bbm Ebsus4 Ebsus4 C# Ebsus4 C# Ebm Bbm Ebm Abm	 C# Abm C# C# Bbm Ebsus4 INTER |Ebm/Bbm|Bbm|Ebm/Bbm|Bbm| |Bbm/Ebm|Ebm|Bbm/Ebm|Ebm| |Abm| - |Bbm| - |Ebm| - | | Ebsus4| - | - | - | VERSE 1 C# Abm C# C# Abm C# C# Ebm Bbm Ebm C# Ebm Bbm Ebm Abm C#	 Ebm Ebsus4 VERSE 2 C# Abm	 C# C# Abm C# C# Ebm Bbm Ebm C# Ebm Bbm Ebm Abm C# Ebm Ebsus4
H.R.Jothipala,Dharmasiri Gamage,D major | Beat,"Golden Pop, Movie Songs, Request",Galagedara M.M.A.Huk,චන්දන ඇල්ලෙන් නාලා… අංජන මල් මී ගාලා හැංගුණ බඹරා ආවා ලස්සන රහසක් කීවා// චන්දන ඇල්ලෙන් නාලා මලට මුවා වී ඉන්නේ මල් පෙති යට සැඟවෙන්නේ// හදකට තුරුළු ව ඉන්නේ ලෝකය නෑ එය දන්නේ දහසක් නෙත් යොමු වන්නේ එනමුදු නෑ හඳුනන්නේ// ඇසිපිය යට සැඟවෙන්නේ සිහින ලොවේ හමු වන්නේ එක කුසුමකි පිබිදෙන්නේ එක වන බඹරෙකි ඉන්නේ දෙබරුන් සේනා එන්නේ වෙනසක් නෑ සිදුවන්නේ,chandana-allen,INTRO | D | A | + | G | | D | D | A | A7 | | D | - | - | - | CHORUS D A7 D D7 G	 D D F#m E G Em A A7 D D F#m D INTRO | G | - | D | - | A | - | D | - | | G | - |F#m| - |Em | - | D | - | | D | - | VERSE 1 G	 A	 G 	 A D D F#m	G	 A A7	D VERSE 2 G	 A	 G 	 A D D	F#m	G	A A7	 D VERSE 2 G	 A G A D D	 F#m G A A7 D
H.R.Jothipala,Dharmasiri Gamage,E major | Beat,Old Pops,Unknown,දොළොස්මහේ පහන වාගෙ පැලට එළිය දුන්න මවයි පියයි සනස්සමින් සන්තෝසෙන් ඉන්න අරුන්දතිය මල්ලි මොටද ගමන් බිමන් යන්න.. අදින් පසුව මේ පාරෙන් ඔබ තනියම එන්න මල් නෙලලා මල් ගොතලා මාල පළන්දන්නම් වැල්ල දිගේ කැලැවේදි අඹ කඩලා දෙන්නම් රැල්ල කපා ගඟෙන් එගොඩ ඔරුවේ ගෙන යන්නම් චිල්ල මලේ ඔන්චිලි චිලි ඔන්චිලි පදවන්නම් වෙසක් මාසෙ දොසක් නොමැති නැකතක් තෝරනවා තොරණ් බැඳල රබන් ගහල ගෙට කැන්ඳන් එනවා කැවුම් කෙසෙල් කිරිබත් ගෙන ජයට මඟුල් කනවා එයින් පස්සෙ ඔබ වෙනුවෙන් මා ජීවත් වෙනවා,dolos-mahe,INTRO |E |B |A |E |x5 CHORUS E	 A		 B	 E E	 A	 B	 E A	 B	 A	 B A	 E	 B7		 E INTER |E |- |F#m|- |E |F#m|B7|E | |E |- |B |E |- |- |B |E | |E |- |B |E |- |- |B |E | VERSE 1 E	 A		B	 E E	 A	 B	 E E	 A		 B	 E E	 F#m	 B7		E VERSE 2 E	 A		 B	 E E	 A B	 E E	 A B	 E E	 F#m	 B7	 E
"H.R.Jothipala, M.S.Fernando",Dharmasiri Gamage,D major | Beat,Movie Songs,Premasiri Khemadasa,ගෙදර හිටිය රෝස කැකුල රෝසා ඔමරි පොමරි දාපු මුකුළු රෝසා අපිත් එක්‌ක හරි යාළුයි රෝසා රෝසා නැතුව ගේ පාළුයි රෝසා// මල් මී පැණි සේරු සේරු පෙම් මදිරා සාරු සාරු// බීලා මොටද රෝසා නැතුව රෝසා දෑතට දී වාරු වාරු ගඟ මැද ඔරු පාරු පාරු පැදල මොටද රෝසා නැතුව රෝසා උණට කොත්තමල්ලි දුන්න රෝසා සෝඩා ටොනික්‌ කඩෙන් ගෙනා රෝසා අපිත් එක්‌ක හරි යාළුයි රෝසා රෝසා නැතුව ගේ පාළුයි රෝසා// සුවඳ සබන් ගාපු ගාපු ගාල නාල ආපු ආපු// පුසුඹ ගහපු රෝස නොන රෝසා කොණ්‌ඩෙ කඩන් පීරු පීරු රැජිණට අපි තේරු තේරු රෝස කැකුළ කොහිද ගියේ රෝසා,gedara-hitiya-rosa,INTRO || D |D7 | G | D || D | A | G | D | CHORUS D D			 A D	 D7		G D	 A7		 D INTER || D |D7 | G | D || | D | G | A | D | A | - |A7 | D | VERSE 1 D D			 G D	 A D 	 A D D	 A7 	 D CHORUS 2 D D			 A D	 D7		G D	 A7		 D VERSE 3 D D			 G D	 A D 	 A D D	 A7 	 D
Nanda Malani,Dharmasiri Gamage,Ab major | Beat,Classics,Nanda Malani,හද විල කළඹන පෙම් ජල රේඛා ඒ විල මැද සීතල සඳ රේඛා දෑසෙහි තවරා ආදර රේඛා ඔබ රුව සිහිනෙන් හද ඇඳි රේඛා වරලස අක්‌ බඹරුන් රැඳි රේඛා දෙනෙතෙහි නිලිපුල් මල්පෙති රේඛා..// දෙතොලෙහි ආදර හසරැලි රේඛා ඔබ රුව සිහිනෙන් හද ඇඳි රේඛා නීල පළිඟු කැට නෙත් මිණි රේඛා බාල වන්දනී නළලත රේඛා..// ආල නුරාවෙන් බැඳි රන් රේඛා ඔබ රුව සිහිනෙන් හද ඇඳි රේඛා දෑල ළැමැද රන් ගෝමර රේඛා ඈතදි පෙන්වන කෝමල රේඛා..// මෑතදි බැලුවිට ආදර රේඛා ඔබ රුව සිහිනෙන් හද ඇඳි රේඛා,hada-wila-kalabana,INTRO | Ab| - |Eb |Ab | |Db/Ab|Eb/Ab|Eb/Db|Eb/Ab| CHORUS Ab Eb Ab Eb	 Eb/Ab Ab	 Eb	 Ab Ab Cm Ab Eb7/Ab Ab		 Eb	 Ab INTER 1 ||Ab | - | Eb|Db/Ab|| |Ab | - | - | - |Bb |Eb |Bbm|Ab | ||Ab | - | Eb|Db/Ab|| VERSE 1 Ab	 Eb Ab Ab	 Eb7 Ab Ab	 Eb	 Db Ab Ab		 Eb	 Ab VERSE 2 Ab	 Eb Ab Ab	 Eb7 Ab Ab Eb Db Ab Ab		 Eb	 Ab VERSE 3 Ab	 Eb Ab Ab	 Eb7 Ab Ab Eb Db Ab Ab		 Eb	 Ab
H.R.Jothipala,Dharmasiri Gamage,D minor | Beat,Golden Pop,Galagedara M.M.A.Huk,හිටින්න පොඩ්ඩක් හිටින්න දුවන්නෙ ඇයි ඔයා පනින්න ඉස්සර බලන්න පනින්නෙ කොහේ කියා ඔච්චර කේන්ති ගියෝතින් වයසට යයි ඔයා ලස්සන හාමිනෙ පොඩිත්ත නාකිවෙයි ඔයා ලස්සන හාමිනෙ පොඩිත්ත නාකිවෙයි ඔයා ශාන්ත දාන්ත වුණාම මාළඟ ජෝඩු වී නෝනට කේන්ති ගියාම මට හරි පාඩුවේ නෝනට කේන්ති ගියාම මට හරි පාඩුවේ,hitinna-poddak,INTRO Piano solo |Dm | - |Dm| - | CHORUS Dm	 Gm	 Dm		 A C	 Dm Dm A7 Dm INTER | + | + | |Dm | - | - | - | |Gm | - | C | - | | F | - |Dm | - | |Dm | - | + | + | VERSE 1 C 		 Dm Gm C A7 Dm Gm C A7 Dm VERSE 2 C 		 Dm Gm C A7 Dm Gm C A7 Dm
Sunil Edirisinghe,Dharmasiri Gamage,C major | Beat,Movie Songs,Victor Rathnayaka,කුඩා ගමේ මද්දහනේ අව් රස්නේ මෙමා හුරේ කඳු පෙතේ දඩ මං දිගේ ගියා මෙමා එවන් ගමන් මා නම් ගියෙ සෙනෙහස ගැන සිතා නුඹේ කරට රිදී පොටක් පළඳන්නයි සුබා මගේ පැළට නුඹ කැන්දං පැමිණි දොහේ එදා මල් ගෝමර පිපුණු ලමැද වසා ගනිං කියා මගේ අතින් දුන් සළුවෙන් ලමැද වසා ගියා රිදී පොටක් කර ලන්නට වරම් නැතුව ගියා වරම් නැතුව ගියා ආල වඩන අකුරු පහේ තේරවිල්ල සකී රෑට නිදන තනි පැදුරේ නැති සිහිනෙකි සකී ආලෙ බිඳුණු දා කුමකට කඳුළු හෙලනු සකී ආල වඩන යන තේරුම බෝසත් කම සකී,kuda-game-maddahane,INTRO/INTER 2 || C | - | - | - | | F | C |Gm | C || CHORUS C Bb C F Bb C C C C7 F Gm Bb C C INTER 1 | C | - | - | - | |C7 | C | F | - | | C | - | - | - | VERSE 1 C F C G C C Bb Dm C F C C Fm Db Bbm Bbm Db C C Db C C Back To Chorus VERSE 2 C Bb C F Bb C C C7 F Gm Bb C C Back To Chorus
Sisira Senarathna,Dharmasiri Gamage,F major | Beat,"Movie Songs, Request",Sisira Senarathna,මාගෙ පුතුට මල් යහන සදන්නේ දෑස සිහින වැල් පාවී එන්නේ රෝස කැලේකින් හමුවූ වැන්නේ මට මේ කුමරුන් කවුදෝ දුන්නේ මාගෙ පුතුට මල් පුංචි පුතුනි ඇයි කිරට හඬන්නේ කවුද පුතුට ලේ කිරි කර දෙන්නේ// අම්ම කියාලයි බහ තෝරන්නේ// ඒ සුදු අම්මා කොහෙදෝ ඉන්නේ මවගෙ ළමැද ලේ කිරට පෙරෙන්නේ ඒ කිරි සුවඳයි ලොව පවතින්නේ// පුතුගේ සිනාවෙන් සතුට සැදෙන්නේ// මල් යහනාවේ පුතු නැළවෙන්නේ මට මේ කුමරුන් කවුදෝ දුන්නේ කවුදෝ දුන්නේ කවුදෝ දුන්නේ,mage-puthuta-mal,INTRO | F |Dm | F | - | | F | - | C | - | | C |C7 | F | - | |Dm |Db+| F | - | CHORUS F Am Bb C F F Am F C7|F F Gm C F F INTER 1 | C | - | F | - | | F | - | - | - | VERSE 1 C F C C F Dm F Am F Bb Gm F F Bb F C C7 F Back To Chorus INTER 2 | F | - | - | - | | F |Bb | F | - | | C |C7 | F | - | VERSE 2 C F C C F Dm F Am F Bb Gm F F Bb F C C7 F F Gm C F|Dm C F|Dm C F Back To Chorus
H.R.Jothipala,Dharmasiri Gamage,G minor | Beat,"Golden Pop, Movie Songs",R.Muththusami,මම ගන්නෙමි කරකාර බන්දාලා පුංචි හාමිනේ වලව්වෙන් දැන් මම ඉන්නෙමි මහ රාජා වාගේ මේ ගමේ කාටත් උදව් කරමින් // වලවේ හාමුට කියනවා මං පුංචි හාමි මගේ මනමාලී // පුල්ලි ගොනා බැදි බර බාගෙන් ඇය ගෙදරට කැන්දම් එමී // මම එහෙම එනකොට පාර දිගේ මේ යාළුවෝ එකතුවෙලා මල් දාලා වෙඩි ගහලා පිලිගත්තා ඔයා මගෙ මාස්ටර් ඔයා කියලා ඉස්සර මං වාගේ උදවියටයි රජ කුමරියෝ ආලේ කරේ // දැන් කාලේ ඒවාගේ බැරි ඇයිදෝ මට යතුරත් දිලයි ගියේ // මගේ යාළුවො ඔක්කොම මනමාලී එක්කල නග්ගලා බරබාගේ මම එන්නමි ඇය කැන්දම් මගේ මාස්ටර් බලන්නට රජ පෙරහැර වාගේ,mama-gannemi,INTRO |Gm |D |Gm/D|Gm |// CHORUS D Gm		 D D			 Cm Gm 	D Gm INTER ||Gm |- |- |- |Eb |Cm |D |Gm || | C |Dm| - | - | - | VERSE 1 Gm			 D7 C		 Gm		 D		 Gm G		 C 		 Gm		 D D			 D7 Gm D Gm VERSE 2 Gm			 D7 C		 Gm		 D		 Gm G		 C 	 Gm D D			 D7 Gm D Gm
Deepika Priyadarshani,Dharmasiri Gamage,A major | Beat,Inspirational,Rohana Weerasingha,මේ මිහිමඬලේ සාමයෙ මල් දම් ගොතනා එකමුතු මිනිසුන් වෙසෙනා ඒ මල් යායට අප හා එනු මැන පාද යාත්‍රාවේ මේ මිහිමඬලේ ඔබ අත දුන මැනවි මා අත ගනු මැනවි අත්වැල් බන්දා මෙත් සිත් රන්දා // අප යන ගමනට එක්වනු මැන ඔබ පාද යාත්‍රාවේ යුද බිම මල් අතුරා ලොවම මලින් සරසා මිනිස් සුගන්දේ සිත් ආනන්දේ // ඒ මල් යායට එක්වණු මැන ඔබ පාද යාත්‍රාවේ,me-mihimadale,INTRO/INTER | A | - | - | - | | A | G |D/A| A | | A | - | D | - | | D | - | D | A | CHORUS A D A A A G D / A E A E A A G A A VERSE 1 A E A D Em D E A E A A G A Back To Chorus VERSE 2 A E A D Em D E A E A A G A Back To Chorus
"Devananda Waidyasekara, Indrani Perera",Dharmasiri Gamage,Key,"Classics, Duets",Pandith Amaradewa,පවන් සුසුම් දැලින් වෙළී ශෘංගාර රාවේ නොසංගා නුවන් කොණින් සුපෙම් හැඟුම් නින්නාද නැංවූ තරංගා කුසුම් ළඳුන් බිඟුන් මුවින් අනුරාග ගී රාව නංවා ප්‍රසන්න වැව් තීරේ නැගේ සංයෝග පෙම් ගී තරංගා පෙම් සීත වර්ෂාවෙ නිල් වැව් තලාවේ අනුරාග හෝරාව එළඹී තිබේ මල්හාරියන් පෙම්වතුන් හා තුරුල් වී අභිෂේක යාමේ උදාවේ මනමාලියක් වන්න සිහිනෙන් පැතූ පෑ අනුරාග හෝරාව එළඹී තිබේ මුව මී තෙපුල් රන් උරා බී සිනාසෙන්න අභිෂේක යාමේ උදාවේ,pawan-susum,INTRO |Bb | F |Eb | F | | F |Bb | F |Bb | |Bb | - |Bb | C | | F |F7 | - |Bb | CHORUS Bb C Eb Bb F Eb F F7 Bb Bb C Eb Bb F Eb F F7 Bb INTER 1 & 2 |Bb | - | F | - | | F |Bb | - | - | VERSE1 Bb Bb7 Eb Eb Bb F Bb C7 F F F7 Bb Back To Chorus VERSE 2 Bb Bb7 Eb Eb Bb F Bb C7 F F F7 Bb Back To Chorus INTER 3 |Bb | - |Bb | C | | F |F7 | - |Bb | END |Bb | F |Eb | F | | F |Bb | F |Bb | Back To Chorus
Angelin Gunathilaka,Dharmasiri Gamage,A major | Beat,"Inspirational, Old Pops",Clarence Wijewardena,පුංචි පුතා මගෙ ඉස්කෝලේ ගිය මුල්ම දවස අද වේ මුල්ම දවස අද වේ බුලත් අතක් දී ගුරුතුමියට වැඳ මා තනි කල මොහොතේ මා තනි කල මොහොතේ අද සිට පුතුනේ හොඳින් ඉගෙන ගෙන මතු යම් දවසක වියතෙක් වනු මැන සිතින් පැතුම් පතලා ඔහු පන්තියෙ තියලා මා වෙන්වුණ මොහොතේ පුංචි ඇස් දෙකේ කඳුළු බිඳු දෙකයි ඔන්න වැටෙන්නට මෙන්න වැටෙන්නට සෙනෙහස ම හදේ ගිණි ඇවිලෙද්දි පුතු තනි කරලා පන්තියෙ තියලා මල් ගස් යට සෙවණේ පුතුගෙ සුවඳ පවනේ මා තනි වූ මොහොතේ පන්තිය නිම වී පුතු ඇවිදිල්ලා හිනැහෙන දෑසයි ලස්සන මුහුණයි,punhi-putha-mage,INTRO | A | E | D | E | | A | E | D | - | | + | + | CHORUS A G D A A E E7 A A G D A A E E7 A INTER | A | E | D | E | | A | E | D | - | VERSE 1 D A E D A A E E7 A|A7 D A E D A A G E7 A VERSE 2 D A E D A A E E7 A|A7 D A E D A A G E7 A Back To Chorus
"H.R.Jothipala, Latha Walpola",Dharmasiri Gamage,G major | Beat,"Duets, Movie Songs",M.K.Roksami,සඳ මෝදු වෙලා නැගෙනා රෑ කාලයෙ වනන්තරේ කුමරියකගෙ දුක් ගීයක් ඇසුනා දැන් නිරන්තරේ// පෙම් ගඟ කැලතී යයි දිඅත ඇදී නොපිපෙන මල් පිබිදෙන දින කවදා ඔබ නිදන රැයේ නොනිදන මසිතේ// තෙරපෙනවා අපමණ හැඟුම් ප්‍රියේ තෙරපෙනවා අපමණ හැඟුම් ප්‍රියේ සිත ආදරයෙන් කැළඹී මොනවද ඇසුවා පිළිතුරු ලැබුණා කුමරිය කුමරුට සිය හිත පිදුවා මොනවද ඇසුවා පිළිතුරු ලැබුණා// කුමරිය කුමරුට සිය හිත පිදුවා තෙරපෙනවා අපමණ හැඟුම් ප්‍රියේ සිත ආදරයෙන් කැළඹී,sanda-modu-wela,"With Lyrics INTRO |G |- |- |+ | |D |- |G |- | CHORUS D	 A	C G	 G7	 C D	 D7	G INTER |C |- |G |- | |G |G7 |C |- | |G |- |F |- | |G |- |- |- | VERSE 1 G C		 G C		 Am	 (1st |E|Am|) D		 D7	 G G 		 G7	 C D	 D7	 G VERSE 2 G C		 G F		 G (1st |F|G|) G	 C	 G G 		 G7	 C D	 D7	 G For Bar Chord Lovers [the_ad id=6205] INTRO |G |- |- |+ | |D |- |G |- | CHORUS | D | - | - | - | | D | A | C | - | | G |G7 | C | - | | D |D7 | G | - | INTER |C |- |G |- | |G |G7 |C |- | |G |- |F |- | |G |- |- |- | VERSE 1 | G | - | - | - | | C | - | G | - | | G | - | C | - | |Am | - | E |Am | | C | - |Am | - | | D | - |D7 | G | | G | - |G7 | C | | D |D7 | G | - | VERSE 2 | G | - | - | - | | C | - | G | - | | G | - | F | - | | G | - | F | G | | F | - | G | - | | G | C | G | - | | G | - |G7 | C | | D |D7 | G | - | Back To Chorus [the_ad id=6203]../ | H.R.Jothipala/Latha WalpolaGo to topHarsha Jayamannewww.sinhalasongbook.com - 1,018VisitsShareTweetPin0 Shares"
Rookantha Gunathilaka,Dharmasiri Gamage,C major | Beat,"Current Songs, Request",Rookantha Gunathilaka,සඳ පිණී දියේ හිම කුමරියේ ජීවිත කැලේ පිපි මල් වැලේ// මා හා බැඳී ගිනි කාෂ්ටකේ කඳු හෙල් දිගේ සැඩ මාරුතේ ඔබ හමා යනවා අපි හමා යනවා නෙතින් ගලනා කඳුළු වැල් ගංගාවෝ සවිය දෙනවා පරදන්න මායාවෝ මල් රොනින් මලින් පිරී දිනෙන් දිනේ ගෙවේ ආදරේ සදා සුසුම් නොවේ මෙලෝ වසනා තුරා ලඟ මා ඉන්නම් කඳුලු පිසදා ඔබව සනහා ලන්නම් ආදරේ හිනා වෙවී ආදරේ හඬයි ජීවිතේ කා හටත් ඔහොමයි,sanda-pini-diye,INTRO | C | - | | C | - | C | - | |Dm |G7 |G7 | C | | C | - | C | - | |Dm |G7 |G7 | C | CHORUS F G7 C F G7 C F G7 Am F G7 Am |Ab|G7| G7 C G7 C INTER 1 | G | - | - | - | | C | - | - | - | | G | - |C/Dm|Em/F| |Am |G7 |Fmaj7| - | VERSE 1 C F G C |C|-|G|-|C|-| C Ab+ Dm G C Eb6 C Eb6 Ab Dsus4|G| Back To Chorus INTER 2 | C | - | | C |Ab+| Dm | - | | F | - | C | - | |Fmaj7| - | C | - | | C |C6 |Cmaj7|C6 | VERSE 2 C F G C |C|-|G|-|C|-| C F G C Eb6 C Eb6 Ab Dsus4|G| Back To Chorus
H.R.Jothipala,Dharmasiri Gamage,Bb minor | Beat,Movie Songs,Premasiri Khemadasa,සීත මෝසම් ගීත නාදෙන් චංචලයි ලොව දැන්නම් හඬ රුං රුං සිත සන්සුන් හෝ// නෑ මා හදේ සන්තාපේ දැන් ඉන්නෙ මා සන්තෝසේ නෑ මා හදේ සන්තාපේ දැන් ඉන්නෙ මා සන්තෝසේ මා දැන් සිටින්නෙ විනෝද තරංග මල් ලෝකේ ගුම් ගුම් ගුම් ගුම් ගුම් නාදේ නින්නාද වේ ගී රාවේ ගුම් ගුම් ගුම් ගුම් ගුම් නාදේ නින්නාද වේ ගී රාවේ පියඹා සැනසුම සොයන්නෙ බමරෙකු විලසින් මා දොයි දොයි දොයි ආරාරෝ සෙනෙහස නෑ මා වින්දේ දොයි දොයි දොයි ආරාරෝ සෙනෙහස නෑ මා වින්දේ කෝ දැන් සැනසුම් හැඟුමන් ගෙනදුන් ගී රාවේ,seetha-mosam,INTRO |+ |+ | ||Bbm|- |- |- || ||C# |- |Ab |Bbm|| CHORUS Bbm Bbm INTER |Ebm|- |Bbm|- |x3 VERSE 1 C#		 Ebm	 Bbm	 Ebm C#		 Ebm		Bbm	 Ebm|Bbm Ebm			 Ebm|Bbm VERSE 2 C#		 Ebm	 Bbm	 Ebm C#	 Ebm Bbm	 Ebm|Bbm Ebm			 Ebm|Bbm VERSE 2 C#		 Ebm	 Bbm	 Ebm C#		 Ebm	 Bbm	 Ebm|Bbm Ebm			 Ebm|Bbm
Namal Udugama,Dharmarathna Perera,Eb minor | Beat,"New Pop, Request",Namal Udugama,අප හමුවීම වෙන්වීම දෝ ආදරේ මට රිදවන්නෙපා ආයේ සංසාරයේ මතු හැමදාම පැතුසේම ඔබ ආදරේ මේ අද වාගේ කඳුලින්ම වෙන්වී නොයන් // පෙම්වන්තියේ මා හැඬුවා දරා ප්‍රේමේ නමින් වේදනා ඒ සිත යාමේ සැමරුම් කියා ලියවේවි මගෙ චේතනා // රන් තාරකාවෝ දිලුණා එදා ගෙනදී නැවුම් කල්පනා මේ ආදරේ නාමයෙන් වේදනා මතුදා ගෙනේ ප්‍රාර්ථනා //,apa-hamuweema-wenweema,INTRO/INTER |Ebm| - | - | - | |Db |Bbm| B |F# | |Ebm|Db | B |Db | CHORUS Ebm Bbm Db Ebm B Bbm Db Ebm VERSE 1 Ebm Bbm B Db Ebm Ebm Bbm B Db Ebm Back To Chorus VERSE 2 Ebm Bbm B Db Ebm Ebm Bbm B Db Ebm Back To Chorus
Chandralekha Perera,Dharmarathna Perera,D major | Beat,New Pop,Sarath Dasanayaka,කන්දෙ විහාරේ සීල සුගන්දේ පාවී එන්නේ ඝන්ඨා නාදේ දෝත පුරාලා නෙළුම් නෙලාලා පන්සල් යමුකෝ චූටි නංගියේ රතු ගුරු පාර ඉමේ කවුරුන් එනකන්දෝ සිරිමල් බලා හිඳින්නේ තනියෙන් බලා හිඳින්නේ මං නංගී එක්කං පංසල් යනවා එනවද සිරිමල් අයියේ පෙර සංසාර භවේ පැතුමකේ විලසින්දෝ අපි දැන් නෙළුම් පුදන්නේ සමිදුන් පිහිට යදින්නේ දෙන්නාට දෙගුරුන් අවසර දෙනවා සැක නැහැ සිරිමල් අයියේ,kande-vihare,INTRO/INTER | D | - | - | - | | D | C | D | - | | D | - | - | G | | A | - |A7 | D | | G |Em |A7 | D | CHORUS D G G C D D G G C D VERSE 1 D F#m D7 G A A7 D D7 G Em A A7 D Back To Chorus VERSE 2 D F#m D7 G A A7 D D7 G Em A A7 D Back To Chorus
